mean_load,service_time,amplitude,method,plan,staff_hours,gap_vs_sgs,gap_vs_sgs_ucb,diff_by_hour,worst_late,worst_hour,hours_over_alpha,hours_significantly_over,late_by_hour,overall_late,mean_wait
2.0,16.0,0.3,Lag-SIPP,"[3, 4, 4, 3, 3, 4, 4, 4]",29,1,0,"[0, 0, 0, 0, 0, 1, 0, 0]",0.066,1,0,0,"[0.0533, 0.066, 0.0474, 0.0622, 0.0455, 0.026, 0.0492, 0.0381]",0.0488,2.084
2.0,16.0,0.3,OL-avg,"[3, 4, 4, 3, 3, 4, 4, 4]",29,1,0,"[0, 0, 0, 0, 0, 1, 0, 0]",0.066,1,0,0,"[0.0533, 0.066, 0.0474, 0.0622, 0.0455, 0.026, 0.0492, 0.0381]",0.0488,2.084
2.0,16.0,0.3,OL-max,"[4, 4, 4, 4, 3, 4, 4, 4]",31,3,2,"[1, 0, 0, 1, 0, 1, 0, 0]",0.0522,1,0,0,"[0.0124, 0.0522, 0.0441, 0.0134, 0.0306, 0.0244, 0.049, 0.0381]",0.0345,1.6
2.0,16.0,0.3,SGS,"[3, 4, 4, 3, 3, 3, 4, 4]",28,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0949,5,0,0,"[0.0533, 0.066, 0.0474, 0.0622, 0.0535, 0.0949, 0.0646, 0.0408]",0.0615,2.527
2.0,16.0,0.3,SGS-UCB,"[3, 4, 4, 3, 3, 4, 4, 4]",29,1,0,"[0, 0, 0, 0, 0, 1, 0, 0]",0.066,1,0,0,"[0.0533, 0.066, 0.0474, 0.0622, 0.0455, 0.026, 0.0492, 0.0381]",0.0488,2.084
2.0,16.0,0.6,SIPP,"[4, 5, 3, 3, 3, 4, 5, 3]",30,3,1,"[1, 0, 0, 0, 1, 1, 0, 0]",0.1031,2,1,0,"[0.0105, 0.0378, 0.1031, 0.0449, 0.014, 0.0147, 0.0202, 0.0875]",0.0383,1.73
2.0,16.0,0.6,Lag-SIPP,"[3, 5, 4, 3, 3, 4, 5, 4]",31,4,2,"[0, 0, 1, 0, 1, 1, 0, 1]",0.0552,0,0,0,"[0.0552, 0.0405, 0.0416, 0.0244, 0.0119, 0.0147, 0.0191, 0.0246]",0.0306,1.448
2.0,16.0,0.6,OL-avg,"[3, 5, 4, 3, 3, 4, 5, 4]",31,4,2,"[0, 0, 1, 0, 1, 1, 0, 1]",0.0552,0,0,0,"[0.0552, 0.0405, 0.0416, 0.0244, 0.0119, 0.0147, 0.0191, 0.0246]",0.0306,1.448
2.0,16.0,0.6,OL-max,"[4, 5, 5, 3, 3, 4, 5, 5]",34,7,5,"[1, 0, 2, 0, 1, 1, 0, 2]",0.0328,1,0,0,"[0.0105, 0.0328, 0.0148, 0.0195, 0.0119, 0.0147, 0.018, 0.0095]",0.0179,0.968
2.0,16.0,0.6,SGS,"[3, 5, 3, 3, 2, 3, 5, 3]",27,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1072,2,1,0,"[0.0552, 0.0437, 0.1072, 0.0473, 0.0828, 0.0849, 0.0308, 0.0911]",0.0632,2.639
