office,service_time,patience,mode,plan,staff_hours,found_by,worst_served_late,served_late_misses,worst_fail,fail_misses,overall_fail,overall_abandon,worst_hour_abandon,abandoned_per_day,wasted_min_per_leaver,mean_wait_served,served_late_by_hour,fail_by_hour
R8_S16_A0.6,16.0,exp30,balk,"[9, 13, 9, 6, 6, 9, 12, 9]",73,SGS-UCB (fail)@balk,0.0159,0,0.0746,0,0.0676,0.0583,0.0673,14.0,0.0,1.574,"[0.0053, 0.0092, 0.0132, 0.0159, 0.0088, 0.0077, 0.0109, 0.012]","[0.0568, 0.0685, 0.0702, 0.0665, 0.0519, 0.0745, 0.0746, 0.0667]"
R8_S16_A0.6,16.0,exp30,renege,"[10, 13, 8, 6, 6, 10, 12, 8]",73,SIPP-A (fail)@renege,0.0166,0,0.0941,0,0.0621,0.055,0.0788,13.22,3.84,1.503,"[0.0013, 0.0061, 0.0166, 0.0131, 0.006, 0.002, 0.0068, 0.0161]","[0.028, 0.0659, 0.0941, 0.0703, 0.0429, 0.0384, 0.0718, 0.0923]"
R8_S16_A0.6,16.0,exp30,balk,"[10, 13, 8, 6, 6, 10, 12, 8]",73,SIPP-A (fail)@renege,0.0276,0,0.1093,0,0.0692,0.0575,0.0845,13.8,0.0,1.588,"[0.0021, 0.0104, 0.0276, 0.0199, 0.0095, 0.0035, 0.0129, 0.026]","[0.033, 0.0689, 0.1093, 0.0785, 0.0532, 0.0435, 0.0759, 0.1083]"
R8_S16_A0.6,16.0,exp30,renege,"[10, 14, 8, 6, 6, 10, 12, 8]",74,SIPP-A (fail)@balk,0.016,0,0.0921,0,0.0558,0.0499,0.0774,11.97,3.78,1.353,"[0.0012, 0.0026, 0.0125, 0.0134, 0.0058, 0.002, 0.0068, 0.016]","[0.0277, 0.0422, 0.0808, 0.0706, 0.0423, 0.0384, 0.0718, 0.0921]"
R8_S16_A0.6,16.0,exp30,balk,"[10, 14, 8, 6, 6, 10, 12, 8]",74,SIPP-A (fail)@balk,0.026,0,0.1084,0,0.0622,0.0523,0.0845,12.55,0.0,1.427,"[0.0019, 0.0042, 0.0211, 0.0196, 0.0093, 0.0035, 0.0129, 0.026]","[0.0329, 0.0425, 0.0931, 0.0787, 0.0527, 0.0435, 0.0759, 0.1084]"
R8_S16_A0.6,16.0,exp30,renege,"[11, 15, 9, 6, 6, 11, 14, 9]",81,SIPP (Erlang-C)@-,0.0094,0,0.0585,0,0.0302,0.028,0.0496,6.71,3.27,0.757,"[0.0004, 0.001, 0.0043, 0.0094, 0.0058, 0.0003, 0.0009, 0.0041]","[0.0159, 0.0253, 0.0438, 0.0585, 0.0416, 0.0205, 0.0256, 0.0426]"
R8_S16_A0.6,16.0,exp30,balk,"[11, 15, 9, 6, 6, 11, 14, 9]",81,SIPP (Erlang-C)@-,0.0142,0,0.0634,0,0.0333,0.0295,0.0499,7.08,0.0,0.798,"[0.0004, 0.0017, 0.0071, 0.0142, 0.0088, 0.001, 0.0026, 0.008]","[0.0186, 0.0256, 0.0487, 0.0634, 0.0517, 0.0231, 0.027, 0.0488]"
R8_S16_A0.6,16.0,exp60,renege,"[7, 12, 9, 5, 5, 8, 11, 8]",65,SGS-UCB (late)@renege,0.0794,0,0.1516,5,0.1228,0.0694,0.0784,16.67,5.9,3.967,"[0.0516, 0.0543, 0.0505, 0.0638, 0.0489, 0.0448, 0.0681, 0.0794]","[0.114, 0.1241, 0.1052, 0.1233, 0.1038, 0.1079, 0.1406, 0.1516]"
R8_S16_A0.6,16.0,exp60,balk,"[7, 12, 9, 5, 5, 8, 11, 8]",65,SGS-UCB (late)@renege,0.0917,0,0.1675,8,0.1321,0.0726,0.0835,17.43,0.0,3.997,"[0.0538, 0.056, 0.0619, 0.0821, 0.0558, 0.0486, 0.0758, 0.0917]","[0.1322, 0.1206, 0.116, 0.1454, 0.1199, 0.1191, 0.1436, 0.1675]"
R8_S16_A0.6,16.0,exp60,renege,"[7, 12, 9, 6, 5, 8, 12, 8]",67,SGS-UCB (late)@balk,0.0547,0,0.1241,3,0.1016,0.0605,0.0739,14.53,5.54,3.43,"[0.0516, 0.0543, 0.049, 0.0254, 0.0338, 0.04, 0.0304, 0.0547]","[0.114, 0.1241, 0.1035, 0.0617, 0.0788, 0.1012, 0.0818, 0.1135]"
