c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
16,16.0,logn30cv15,O*2,-2.609024107869118e-13,True,H|O*1.5,2.1338486533295509e-13,True
16,16.0,logn30cv15,O*3,-5.617728504603292e-14,True,H|O*1.5|O*2,-1.199040866595169e-14,True
16,16.0,logn30cv15,O-M5,-1.2989609388114332e-13,True,H|O-M10|O-M15|O-M30,1.3011813848606835e-13,True
16,16.0,logn30cv15,O-M10,-8.033573806187633e-13,True,H|O-M15|O-M30,2.688960165642129e-13,True
16,16.0,logn30cv15,O-M15,-1.2789769243681803e-13,True,H|O-M30,1.4788170688007085e-13,True
16,16.0,logn30cv15,O-M30,-5.637712519046545e-13,True,H,2.255973186038318e-13,True
64,8.0,exp30,H,-6.391553952767026e-12,True,,0.0,True
64,8.0,exp30,O*1.5,-1.4839240947139842e-12,True,H,1.9895196601282805e-12,True
64,8.0,exp30,O*2,-4.135802811333633e-12,True,H|O*1.5,4.948708109964173e-12,True
64,8.0,exp30,O*3,-2.53541632133647e-12,True,H|O*1.5|O*2,2.2233326291143385e-12,True
64,8.0,exp30,O-M5,-4.869438186005937e-13,True,H|O-M10|O-M15|O-M30,1.3024026301877711e-12,True
64,8.0,exp30,O-M10,-2.16338058578458e-12,True,H|O-M15|O-M30,1.965316798191452e-12,True
64,8.0,exp30,O-M15,-6.941114349956479e-13,True,H|O-M30,1.3075096561010469e-12,True
64,8.0,exp30,O-M30,-2.1433965713413272e-12,True,H,5.311528994411674e-12,True
64,8.0,logn30,H,-2.6618707238412753e-12,True,,0.0,True
64,8.0,logn30,O*1.5,-2.894573469802708e-12,True,H,3.2092106749814775e-12,True
64,8.0,logn30,O*2,-3.422706562616895e-12,True,H|O*1.5,2.484790151413563e-12,True
64,8.0,logn30,O*3,-2.488009798184976e-12,True,H|O*1.5|O*2,1.2360112933151868e-12,True
64,8.0,logn30,O-M5,-2.070565940925917e-13,True,H|O-M10|O-M15|O-M30,1.2386758285742872e-12,True
64,8.0,logn30,O-M10,-1.709077324107966e-12,True,H|O-M15|O-M30,2.7579050154713514e-12,True
64,8.0,logn30,O-M15,-1.2067014054650826e-12,True,H|O-M30,7.724931805341839e-13,True
64,8.0,logn30,O-M30,-4.030997757809018e-12,True,H,1.3005152510459084e-12,True
64,8.0,logn30cv15,H,-1.085354028873553e-11,True,,0.0,True
64,8.0,logn30cv15,O*1.5,-2.4007462684494385e-12,True,H,6.262768081910508e-12,True
64,8.0,logn30cv15,O*2,-4.586331314726522e-12,True,H|O*1.5,4.037881140561694e-12,True
64,8.0,logn30cv15,O*3,-8.462119893692943e-13,True,H|O*1.5|O*2,2.2712942637781453e-12,True
64,8.0,logn30cv15,O-M5,-7.575051697017443e-13,True,H|O-M10|O-M15|O-M30,1.2243539515566226e-12,True
64,8.0,logn30cv15,O-M10,-1.325828336007362e-12,True,H|O-M15|O-M30,2.5059954111839033e-12,True
64,8.0,logn30cv15,O-M15,-7.482903185973555e-13,True,H|O-M30,2.738032023330561e-12,True
64,8.0,logn30cv15,O-M30,-2.339684002095055e-12,True,H,6.905587213168474e-13,True
64,16.0,exp30,H,-5.397016167307811e-12,True,,0.0,True
64,16.0,exp30,O*1.5,-2.3813173655184983e-12,True,H,1.4629408795485688e-12,True
64,16.0,exp30,O*2,-7.638334409421077e-13,True,H|O*1.5,1.88005166990024e-12,True
64,16.0,exp30,O*3,-1.1606271499431386e-12,True,H|O*1.5|O*2,2.330691195595591e-12,True
64,16.0,exp30,O-M5,-5.343503417520878e-13,True,H|O-M10|O-M15|O-M30,2.1824764218081327e-12,True
64,16.0,exp30,O-M10,-4.32764934998886e-13,True,H|O-M15|O-M30,2.9196645101592367e-12,True
64,16.0,exp30,O-M15,-1.0087486401744172e-12,True,H|O-M30,2.4289459332749175e-12,True
64,16.0,exp30,O-M30,-2.3372415114408795e-12,True,H,3.778977131219108e-12,True
64,16.0,logn30,H,-2.600031301369654e-12,True,,0.0,True
64,16.0,logn30,O*1.5,-1.3773426843499692e-12,True,H,3.878120047318134e-12,True
64,16.0,logn30,O*2,-3.0544455853487307e-12,True,H|O*1.5,1.6224799281872038e-12,True
64,16.0,logn30,O*3,-6.277200981230635e-13,True,H|O*1.5|O*2,1.0436096431476471e-12,True
