c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
8,0.95,16.0,120.0,1.0,1,31.5731
8,1.0,4.0,10.0,0.5,1,129.0542
8,1.0,4.0,10.0,0.9,1,149.8491
8,1.0,4.0,10.0,1.0,101,472.2349
8,1.0,4.0,30.0,0.5,1,126.0881
8,1.0,4.0,30.0,0.9,1,138.9569
8,1.0,4.0,30.0,1.0,101,285.4701
8,1.0,4.0,120.0,0.5,1,123.4299
8,1.0,4.0,120.0,0.9,1,130.1904
8,1.0,4.0,120.0,1.0,135,196.7436
8,1.0,16.0,10.0,0.5,1,33.3827
8,1.0,16.0,10.0,0.9,1,42.2936
8,1.0,16.0,10.0,1.0,75,267.118
8,1.0,16.0,30.0,0.5,1,32.4846
8,1.0,16.0,30.0,0.9,1,38.3413
8,1.0,16.0,30.0,1.0,92,132.2146
8,1.0,16.0,120.0,0.5,1,31.522
8,1.0,16.0,120.0,0.9,1,34.7392
8,1.0,16.0,120.0,1.0,100,71.3675
8,1.1,4.0,10.0,0.5,1,147.7172
8,1.1,4.0,10.0,0.9,1,240.0343
8,1.1,4.0,10.0,1.0,0,
8,1.1,4.0,30.0,0.5,1,145.1188
8,1.1,4.0,30.0,0.9,1,240.0
8,1.1,4.0,30.0,1.0,0,
8,1.1,4.0,120.0,0.5,1,144.0256
8,1.1,4.0,120.0,0.9,1,240.0
8,1.1,4.0,120.0,1.0,0,
8,1.1,16.0,10.0,0.5,1,38.1109
8,1.1,16.0,10.0,0.9,1,61.4285
8,1.1,16.0,10.0,1.0,0,
8,1.1,16.0,30.0,0.5,1,37.1513
8,1.1,16.0,30.0,0.9,1,60.0455
8,1.1,16.0,30.0,1.0,0,
8,1.1,16.0,120.0,0.5,1,36.2797
8,1.1,16.0,120.0,0.9,1,60.0
8,1.1,16.0,120.0,1.0,0,
8,1.5,4.0,10.0,0.5,1,240.0038
8,1.5,4.0,10.0,0.9,1,720.0
8,1.5,4.0,10.0,1.0,0,
8,1.5,4.0,30.0,0.5,1,240.0
8,1.5,4.0,30.0,0.9,1,720.0
8,1.5,4.0,30.0,1.0,0,
8,1.5,4.0,120.0,0.5,1,240.0
8,1.5,4.0,120.0,0.9,1,720.0
8,1.5,4.0,120.0,1.0,0,
8,1.5,16.0,10.0,0.5,1,60.1838
8,1.5,16.0,10.0,0.9,1,180.0
8,1.5,16.0,10.0,1.0,0,
8,1.5,16.0,30.0,0.5,1,60.0051
8,1.5,16.0,30.0,0.9,1,180.0
8,1.5,16.0,30.0,1.0,0,
8,1.5,16.0,120.0,0.5,1,60.0
8,1.5,16.0,120.0,0.9,1,180.0
8,1.5,16.0,120.0,1.0,0,
8,2.0,4.0,10.0,0.5,1,360.0
8,2.0,4.0,10.0,0.9,1,1320.0
8,2.0,4.0,10.0,1.0,0,
8,2.0,4.0,30.0,0.5,1,360.0
8,2.0,4.0,30.0,0.9,1,1320.0
8,2.0,4.0,30.0,1.0,0,
8,2.0,4.0,120.0,0.5,1,360.0
8,2.0,4.0,120.0,0.9,1,1320.0
8,2.0,4.0,120.0,1.0,0,
8,2.0,16.0,10.0,0.5,1,90.0045
8,2.0,16.0,10.0,0.9,1,330.0
8,2.0,16.0,10.0,1.0,0,
8,2.0,16.0,30.0,0.5,1,90.0
8,2.0,16.0,30.0,0.9,1,330.0
8,2.0,16.0,30.0,1.0,0,
8,2.0,16.0,120.0,0.5,1,90.0
8,2.0,16.0,120.0,0.9,1,330.0
8,2.0,16.0,120.0,1.0,0,
16,0.5,4.0,10.0,0.5,1,120.0229
16,0.5,4.0,10.0,0.9,1,120.0414
16,0.5,4.0,10.0,1.0,1,120.046
16,0.5,4.0,30.0,0.5,1,120.0085
16,0.5,4.0,30.0,0.9,1,120.0153
16,0.5,4.0,30.0,1.0,1,120.017
16,0.5,4.0,120.0,0.5,1,120.0022
16,0.5,4.0,120.0,0.9,1,120.004
16,0.5,4.0,120.0,1.0,1,120.0044
16,0.5,16.0,10.0,0.5,1,30.0167
16,0.5,16.0,10.0,0.9,1,30.0301
16,0.5,16.0,10.0,1.0,1,30.0335
16,0.5,16.0,30.0,0.5,1,30.0073
16,0.5,16.0,30.0,0.9,1,30.0132
16,0.5,16.0,30.0,1.0,1,30.0147
16,0.5,16.0,120.0,0.5,1,30.0021
16,0.5,16.0,120.0,0.9,1,30.0038
16,0.5,16.0,120.0,1.0,1,30.0042
16,0.8,4.0,10.0,0.5,1,193.9966
16,0.8,4.0,10.0,0.9,1,195.8782
16,0.8,4.0,10.0,1.0,1,196.3999
16,0.8,4.0,30.0,0.5,1,192.9142
